code,ticker_tse,company_name,sector,date,close,volume,price_file
8725,8725.T,"MS&AD INSURANCE GROUP HOLDINGS, INC.",Insurance,2026-03-25,4214.00,5662000,data/prices/stooq/jp/8725.csv
8750,8750.T,"DAI-ICHI LIFE HOLDINGS, INC.",Insurance,2026-03-25,1450.00,13432500,data/prices/stooq/jp/8750.csv
8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Insurance,2026-03-25,7857.00,33295700,data/prices/stooq/jp/8766.csv
8795,8795.T,"T&D HOLDINGS, INC.",Insurance,2026-03-25,3968.00,2812800,data/prices/stooq/jp/8795.csv
8801,8801.T,"MITSUI FUDOSAN CO., LTD.",Real Estate,2026-03-25,1753.00,7635300,data/prices/stooq/jp/8801.csv
8802,8802.T,"MITSUBISHI ESTATE CO., LTD.",Real Estate,2026-03-25,4559.00,3696500,data/prices/stooq/jp/8802.csv
8804,8804.T,"TOKYO TATEMONO CO., LTD.",Real Estate,2026-03-25,3753.00,583700,data/prices/stooq/jp/8804.csv
8830,8830.T,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",Real Estate,2026-03-25,4627.00,2701300,data/prices/stooq/jp/8830.csv
9001,9001.T,"TOBU RAILWAY CO., LTD.",Railway & Bus,2026-03-25,2904.00,645000,data/prices/stooq/jp/9001.csv
9005,9005.T,TOKYU CORP.,Railway & Bus,2026-03-25,1872.00,1996600,data/prices/stooq/jp/9005.csv
9007,9007.T,"ODAKYU ELECTRIC RAILWAY CO., LTD.",Railway & Bus,2026-03-25,1644.00,1095100,data/prices/stooq/jp/9007.csv
9008,9008.T,KEIO CORP.,Railway & Bus,2026-03-25,3914.00,347700,data/prices/stooq/jp/9008.csv
9009,9009.T,"KEISEI ELECTRIC RAILWAY CO., LTD.",Railway & Bus,2026-03-25,1218.50,1572400,data/prices/stooq/jp/9009.csv
9020,9020.T,EAST JAPAN RAILWAY CO.,Railway & Bus,2026-03-25,3635.00,3452500,data/prices/stooq/jp/9020.csv
9021,9021.T,WEST JAPAN RAILWAY CO.,Railway & Bus,2026-03-25,3213.00,2135500,data/prices/stooq/jp/9021.csv
9022,9022.T,"CENTRAL JAPAN RAILWAY CO., LTD.",Railway & Bus,2026-03-25,4274.00,2827600,data/prices/stooq/jp/9022.csv
9064,9064.T,"YAMATO HOLDINGS CO., LTD.",Land Transport,2026-03-25,1764.00,2098500,data/prices/stooq/jp/9064.csv
9101,9101.T,NIPPON YUSEN K.K.,Marine Transport,2026-03-25,5729.00,4216900,data/prices/stooq/jp/9101.csv
9104,9104.T,"MITSUI O.S.K.LINES, LTD.",Marine Transport,2026-03-25,6532.00,4874700,data/prices/stooq/jp/9104.csv
9107,9107.T,"KAWASAKI KISEN KAISHA, LTD.",Marine Transport,2026-03-25,2633.50,7160100,data/prices/stooq/jp/9107.csv
9147,9147.T,"NIPPON EXPRESS HOLDINGS, INC.",Land Transport,2026-03-25,3579.00,1005200,data/prices/stooq/jp/9147.csv
9201,9201.T,"JAPAN AIRLINES CO., LTD.",Air Transport,2026-03-25,2691.00,5054300,data/prices/stooq/jp/9201.csv
9202,9202.T,ANA HOLDINGS INC.,Air Transport,2026-03-25,2980.00,2343800,data/prices/stooq/jp/9202.csv
9432,9432.T,"NTT, INC.",Communications,2026-03-25,157.50,154975700,data/prices/stooq/jp/9432.csv
9433,9433.T,KDDI CORP.,Communications,2026-03-25,2705.50,7745000,data/prices/stooq/jp/9433.csv
9434,9434.T,SOFTBANK CORP.,Communications,2026-03-25,220.20,77199100,data/prices/stooq/jp/9434.csv
